model,mae,rmse,r2
基线(昨日同时刻),818.1794258373205,1407.7612949773707,0.6484907766555825
岭回归,448.7778387811454,657.7812472705178,0.9232564897418544
随机森林,270.15796091933873,496.7310080875369,0.9562355750090926
