split,model,lead,factor,penalty,mean_inventory,shortage,fill_rate,cost
test,naive,1,3.0,5,870.49,10109.0,0.8976542172456036,311692.0
test,naive,1,3.0,10,870.49,10109.0,0.8976542172456036,362237.0
test,ridge,0,0.0,2,56.83,32301.0,0.6729774331041883,81651.0
test,ridge,0,0.0,5,56.83,32301.0,0.6729774331041883,178554.0
test,ridge,0,0.0,10,56.83,32301.0,0.6729774331041883,340059.0
test,ridge,0,0.5,2,113.03,24133.0,0.7556720966255961,82175.0
test,ridge,0,0.5,5,113.03,24133.0,0.7556720966255961,154574.0
test,ridge,0,0.5,10,113.03,24133.0,0.7556720966255961,275239.0
test,ridge,0,1.0,2,177.0,18303.0,0.8146963238941816,89706.0
test,ridge,0,1.0,5,177.0,18303.0,0.8146963238941816,144615.0
test,ridge,0,1.0,10,177.0,18303.0,0.8146963238941816,236130.0
test,ridge,0,1.5,2,245.76,13913.0,0.8591416682696689,101554.0
test,ridge,0,1.5,5,245.76,13913.0,0.8591416682696689,143293.0
test,ridge,0,1.5,10,245.76,13913.0,0.8591416682696689,212858.0
test,ridge,0,2.0,2,318.0133333333333,10572.0,0.8929667014265031,116548.0
test,ridge,0,2.0,5,318.0133333333333,10572.0,0.8929667014265031,148264.0
test,ridge,0,2.0,10,318.0133333333333,10572.0,0.8929667014265031,201124.0
test,ridge,0,3.0,2,469.9,6091.0,0.9383333502070403,153152.0
test,ridge,0,3.0,5,469.9,6091.0,0.9383333502070403,171425.0
test,ridge,0,3.0,10,469.9,6091.0,0.9383333502070403,201880.0
test,ridge,1,0.0,2,119.90333333333334,36675.0,0.6286940763164023,109321.0
test,ridge,1,0.0,5,119.90333333333334,36675.0,0.6286940763164023,219346.0
test,ridge,1,0.0,10,119.90333333333334,36675.0,0.6286940763164023,402721.0
test,ridge,1,0.5,2,185.1,30325.0,0.6929829001852733,116180.0
test,ridge,1,0.5,5,185.1,30325.0,0.6929829001852733,207155.0
test,ridge,1,0.5,10,185.1,30325.0,0.6929829001852733,358780.0
test,ridge,1,1.0,2,259.06666666666666,25148.0,0.745396009030808,128016.0
test,ridge,1,1.0,5,259.06666666666666,25148.0,0.745396009030808,203460.0
test,ridge,1,1.0,10,259.06666666666666,25148.0,0.745396009030808,329200.0
test,ridge,1,1.5,2,342.95666666666665,21241.0,0.7849513531025685,145369.0
test,ridge,1,1.5,5,342.95666666666665,21241.0,0.7849513531025685,209092.0
test,ridge,1,1.5,10,342.95666666666665,21241.0,0.7849513531025685,315297.0
test,ridge,1,2.0,2,431.25,18067.0,0.8170856408127727,165509.0
test,ridge,1,2.0,5,431.25,18067.0,0.8170856408127727,219710.0
test,ridge,1,2.0,10,431.25,18067.0,0.8170856408127727,310045.0
test,ridge,1,3.0,2,619.7266666666667,13728.0,0.8610146497524627,213374.0
test,ridge,1,3.0,5,619.7266666666667,13728.0,0.8610146497524627,254558.0
test,ridge,1,3.0,10,619.7266666666667,13728.0,0.8610146497524627,323198.0
validation,moving_average,0,0.0,2,83.05,19606.0,0.7347924303705007,64127.0
validation,moving_average,0,0.0,5,83.05,19606.0,0.7347924303705007,122945.0
validation,moving_average,0,0.0,10,83.05,19606.0,0.7347924303705007,220975.0
validation,moving_average,0,0.5,2,153.36333333333334,12433.0,0.8318205797611157,70875.0
validation,moving_average,0,0.5,5,153.36333333333334,12433.0,0.8318205797611157,108174.0
validation,moving_average,0,0.5,10,153.36333333333334,12433.0,0.8318205797611157,170339.0
validation,moving_average,0,1.0,2,233.56666666666666,8266.0,0.8881869952791267,86602.0
validation,moving_average,0,1.0,5,233.56666666666666,8266.0,0.8881869952791267,111400.0
validation,moving_average,0,1.0,10,233.56666666666666,8266.0,0.8881869952791267,152730.0
validation,moving_average,0,1.5,2,317.87333333333333,5333.0,0.9278612685487034,106028.0
validation,moving_average,0,1.5,5,317.87333333333333,5333.0,0.9278612685487034,122027.0
validation,moving_average,0,1.5,10,317.87333333333333,5333.0,0.9278612685487034,148692.0
validation,moving_average,0,2.0,2,407.60333333333335,4022.0,0.945594978830468,130325.0
validation,moving_average,0,2.0,5,407.60333333333335,4022.0,0.945594978830468,142391.0
validation,moving_average,0,2.0,10,407.60333333333335,4022.0,0.945594978830468,162501.0
validation,moving_average,0,3.0,2,593.0466666666666,3187.0,0.9568899049061912,184288.0
validation,moving_average,0,3.0,5,593.0466666666666,3187.0,0.9568899049061912,193849.0
validation,moving_average,0,3.0,10,593.0466666666666,3187.0,0.9568899049061912,209784.0
validation,moving_average,1,0.0,2,181.82666666666665,22996.0,0.6889363831888214,100540.0
validation,moving_average,1,0.0,5,181.82666666666665,22996.0,0.6889363831888214,169528.0
validation,moving_average,1,0.0,10,181.82666666666665,22996.0,0.6889363831888214,284508.0
validation,moving_average,1,0.5,2,269.96666666666664,17843.0,0.758640280276489,116676.0
validation,moving_average,1,0.5,5,269.96666666666664,17843.0,0.758640280276489,170205.0
validation,moving_average,1,0.5,10,269.96666666666664,17843.0,0.758640280276489,259420.0
validation,moving_average,1,1.0,2,364.78333333333336,13713.0,0.8145062020641984,136861.0
validation,moving_average,1,1.0,5,364.78333333333336,13713.0,0.8145062020641984,178000.0
validation,moving_average,1,1.0,10,364.78333333333336,13713.0,0.8145062020641984,246565.0
validation,moving_average,1,1.5,2,467.2,10732.0,0.8548297644974097,161624.0
validation,moving_average,1,1.5,5,467.2,10732.0,0.8548297644974097,193820.0
validation,moving_average,1,1.5,10,467.2,10732.0,0.8548297644974097,247480.0
validation,moving_average,1,2.0,2,580.05,9318.0,0.8739567411094729,192651.0
validation,moving_average,1,2.0,5,580.05,9318.0,0.8739567411094729,220605.0
validation,moving_average,1,2.0,10,580.05,9318.0,0.8739567411094729,267195.0
validation,moving_average,1,3.0,2,818.78,8511.0,0.8848729151730761,262656.0
validation,moving_average,1,3.0,5,818.78,8511.0,0.8848729151730761,288189.0
validation,moving_average,1,3.0,10,818.78,8511.0,0.8848729151730761,330744.0
validation,naive,0,0.0,2,128.4,19093.0,0.7417317083068432,76706.0
validation,naive,0,0.0,5,128.4,19093.0,0.7417317083068432,133985.0
validation,naive,0,0.0,10,128.4,19093.0,0.7417317083068432,229450.0
validation,naive,0,0.5,2,201.90333333333334,12740.0,0.8276678344853707,86051.0
validation,naive,0,0.5,5,201.90333333333334,12740.0,0.8276678344853707,124271.0
