split,model,product_id,mae,wape
test,moving_average,15056N,35.083333333333336,0.8096153846153846
test,moving_average,20685,27.0625,0.5306372549019608
test,moving_average,20725,85.02083333333333,0.2869901547116737
test,moving_average,21137,187.64583333333334,0.6759981987391174
test,moving_average,21232,123.25,0.5135416666666667
test,moving_average,21621,10.416666666666666,0.3993610223642173
test,moving_average,21623,27.125,1.2865612648221343
test,moving_average,21754,10.5,0.2545454545454545
test,moving_average,21843,34.6875,0.7824248120300752
test,moving_average,21931,95.33333333333333,0.33627278071722516
test,moving_average,22189,104.89583333333333,1.0542294807370185
test,moving_average,22197,664.5625,0.3674492005713496
test,moving_average,22386,272.1458333333333,0.5098750975800156
test,moving_average,22411,147.72916666666666,0.49243055555555554
test,moving_average,22423,49.166666666666664,0.2961847389558233
test,moving_average,47566,87.77083333333333,0.499407302038881
test,moving_average,48138,97.91666666666667,1.092007434944238
test,moving_average,48185,92.60416666666667,1.419220945083014
test,moving_average,48194,96.04166666666667,1.232620320855615
test,moving_average,79321,157.14583333333334,0.5401747350329419
test,moving_average,84879,254.02083333333334,0.2956595538312318
test,moving_average,85099B,634.3333333333334,0.5399347425166691
test,moving_average,85099C,144.4375,0.47176102340773
test,moving_average,85099F,241.27083333333334,0.7290984638630068
test,moving_average,85123A,335.9791666666667,0.5347857806075076
test,naive,15056N,45.916666666666664,1.0596153846153846
test,naive,20685,32.916666666666664,0.6454248366013072
test,naive,20725,103.08333333333333,0.34796061884669477
test,naive,21137,257.25,0.9267487241068748
test,naive,21232,202.33333333333334,0.8430555555555556
test,naive,21621,17.75,0.6805111821086262
test,naive,21623,24.833333333333332,1.1778656126482214
test,naive,21754,16.166666666666668,0.39191919191919194
test,naive,21843,35.5,0.8007518796992481
test,naive,21931,136.25,0.48059964726631393
test,naive,22189,117.41666666666667,1.1800670016750419
test,naive,22197,862.9166666666666,0.47712297839008433
test,naive,22386,276.0833333333333,0.5172521467603435
test,naive,22411,148.5,0.495
test,naive,22423,73.33333333333333,0.44176706827309237
test,naive,47566,123.58333333333333,0.7031768610715979
test,naive,48138,124.5,1.3884758364312269
test,naive,48185,102.25,1.5670498084291187
test,naive,48194,128.58333333333334,1.6502673796791443
test,naive,79321,253.75,0.8722429103408765
test,naive,84879,260.25,0.302909796314258
test,naive,85099B,702.25,0.5977443609022557
test,naive,85099C,210.08333333333334,0.686173108328797
test,naive,85099F,349.0833333333333,1.054898010576681
test,naive,85123A,478.1666666666667,0.7611089003846664
test,ridge,15056N,54.301085362276105,1.2531019698986794
test,ridge,20685,38.32483213895941,0.7514672968423414
test,ridge,20725,108.87654117153471,0.3675157507899906
test,ridge,21137,174.66402149267074,0.6292309390309364
test,ridge,21232,120.01846156747304,0.5000769231978044
test,ridge,21621,38.95172887251851,1.493357017476748
test,ridge,21623,57.3277609295536,2.7191032851962182
test,ridge,21754,11.802658825125947,0.2861250624272957
test,ridge,21843,30.83078319223971,0.6954311998249559
test,ridge,21931,86.12317424833462,0.30378544708407274
test,ridge,22189,122.91862854148131,1.2353631009194102
test,ridge,22197,867.6410498763521,0.479735179399909
test,ridge,22386,231.595350332869,0.4339022957056094
test,ridge,22411,134.80314053242728,0.4493438017747576
test,ridge,22423,61.44262385941311,0.3701362883097175
test,ridge,47566,100.09311760799454,0.5695198725917185
test,ridge,48138,80.49837871248296,0.8977514354552002
test,ridge,48185,77.56425006553742,1.1887241389354395
test,ridge,48194,84.53895012651328,1.084991873281454
